Gene	DPKM	RPKM		Gene	DPKM	RPKM
cusB	69.84812	53.69079		cusA	27.8912430734329	21.8725604511144
cusC	26.6669	34.0824		cusB	42.9853275602319	35.1963814740992
cusF	36.677	27.185		cusC	38.2926062108616	24.2280768067043
cusR	89.27955	60.31223		cusR	25.6403708254015	26.0464449824275
cusS	8.46392	4.25467		cusS	24.3077112190916	31.1851514554105
cutA	180.13926	264.91325		cutA	206.938214095276	216.10521593751
cutC	193.86416	195.40141		cutC	198.843692115358	174.828284477406
cvpA	24.97636	22.41996		cvpA	215.190351467173	233.360057425595
cvrA	42.18806	53.19832		cvrA	80.7738106831301	85.5456092352105
cyaA	326.07541	339.92631		cyaA	413.145197752052	446.687645126473
cyaR	140.38439	118.45471		cyaY	327.813339150927	277.38456631584
cyaY	190.24053	119.83096		cybB	429.367565686384	465.814256715248
cybB	299.01082	304.15438		cybC	926.09973040658	953.1851717306
cybC	443.39229	502.21603		cycA	273.061783567333	297.521853510837
cycA	198.80337	198.69499		cydA	301.801382029009	308.440947053396
cydA	163.46863	193.53333		cydB	215.379114933373	206.462984149501
cydB	257.1251	253.36631		cydC	132.400799871934	163.774103216508
cydC	92.20369	99.9927		cydD	69.477133849475	72.1637183981994
cydD	55.29572	52.72057		cynR	38.9733636546103	29.2663244742207
cynR	13.57049	19.42081		cynT	26.5727479463252	41.9447785831827
cynS	25.93087	26.00348		cynX	45.5532821937003	48.7014865261443
cyoA	2280.35786	2584.74961		cyoA	3182.00247559793	3200.72409939259
cyoB	1857.76755	1805.82541		cyoB	2403.55307478357	2296.53497849482
cyoC	1549.02193	1597.62026		cyoC	1825.09410285004	1747.17647104686
cyoD	1369.38593	1234.82572		cyoD	2178.96533159866	2339.36676336608
cyoE	890.99185	867.47137		cyoE	1515.6308087904	1648.66013154097
cysB	162.84589	160.08917		cysB	197.864769323406	194.894424520634
cysC	20.15419	28.7911		cysE	597.401924632712	548.428287839945
cysE	386.31325	398.33166		cysG	140.406222773159	119.826981945961
cysG	17.77794	14.93242		cysI	10.2381865992847	15.8694717934483
cysH	33.23386	24.24938		cysJ	19.4866818273051	19.0700394168756
cysI	7.12986	3.05376		cysK	451.080597854285	409.044366065429
cysK	364.39282	316.65488		cysM	38.4605562381022	32.9650319308848
cysM	40.1758	35.10199		cysP	17.2448511746063	19.6699541410627
cysN	8.55283	0.04387		cysQ	260.348380688692	233.070774928963
cysQ	296.6828	227.5949		cysS	303.688547958002	289.743371773006
cysS	237.9242	188.41795		cysT	2133.00165947529	2465.64921029365
cysT	1980.55818	2163.4649		cysU	21.0287933388185	19.2901031231492
cysU	29.28883	47.58677		cysW	20.0205635212039	20.6882840047009
cysZ	64.11256	64.00433		cysZ	92.0630637510478	55.5785379612476
cytR	333.31031	364.25471		cytR	153.842224952409	166.757124772553
dacA	493.77778	464.53432		dacA	593.282639791716	615.508996993946
dacB	153.3068	103.53922		dacB	232.372565723095	215.248163309459
dacC	121.82985	109.17795		dacC	87.4713897485018	103.283147086996
dacD	10.46567	18.33266		dacD	15.0282893269705	22.7678391961455
dadA	592.33784	585.94242		dadA	864.074575252329	963.448292377294
dadX	444.74719	429.49704		dadX	786.01741824424	774.015661854649
dam	218.87889	158.49065		dam	272.394477155878	267.579658701102
damX	455.51299	413.00318		damX	531.454958926504	499.715524213742
dapA	1014.31317	1170.35176		dapA	937.754995784991	933.168225170563
dapB	133.72382	56.28392		dapB	64.0073490677906	81.6499997567689
dapD	710.60027	750.74822		dapD	892.844330996526	875.569619401294
dapE	205.72287	212.54703		dapE	202.122497676835	214.275842726745
dapF	236.86676	191.4744		dapF	255.098380284722	182.160181275536
dbpA	44.44484	32.55496		dbpA	51.0568082811488	48.6797114155465
dcd	356.75003	273.78802		dcd	452.010660942645	380.595922631824
dcp	59.69424	41.53554		dcp	60.0029792336375	76.5106090482018
dcrB	503.42145	473.84401		dcrB	377.161583754293	383.616474522196
dctA	161.32752	174.63008		dctA	354.303305951002	370.654667034718
dcuA	206.37153	199.68378		dcuA	323.28135750368	300.474177494425
dcuB	18.21542	23.03159		dcuR	73.0750568523942	67.8863539644368
dcuR	67.85246	98.32221		dcuS	21.492663780116	15.5748693421482
dcuS	14.96745	20.70985		ddlA	240.246762254447	273.190543526483
ddlA	200.76891	185.08271		ddlB	342.762481652924	352.193107128445
ddlB	251.96026	239.26555		ddpA	22.6151046351704	23.1218008066177
ddpA	7.87456	11.9358		ddpB	17.1437083524679	12.535954585283
ddpD	12.37431	8.66405		deaD	436.130498039686	395.235556466724
ddpX	20.9853	19.3756		dedA	292.300227409577	270.924873594843
deaD	213.25058	201.98108		dedD	370.33512974969	271.610084925587
dedA	259.07301	258.8967		def	275.106096385484	348.57592775418
dedD	386.85111	274.30846		degP	406.14347387436	442.13391281033
def	359.21889	328.47091		degQ	38.4605562381022	30.1442693007835
degP	197.12924	210.73834		degS	98.528166542554	108.860718185467
degQ	98.2075	85.11031		deoA	185.587445974335	149.405047890054
degS	80.05065	81.97591		deoB	1189.26072916642	1115.33631311194
deoA	83.08464	102.99238		deoC	89.9385315106391	144.132874064563
deoB	1167.46138	1128.81166		deoD	2094.8182964353	1972.91716517542
deoC	78.2913	89.79515		deoR	369.707797514089	333.77754217191
deoD	1832.01632	1806.82289		der	250.032781083549	237.414288069688
deoR	160.91492	159.7147		dfp	402.182131079516	410.375499876698
der	149.24777	160.00064		dgkA	427.756430355478	325.794147510435
dfp	340.09585	331.60737		dgoD	15.2637194469753	22.1220076295786
dgkA	529.58015	397.95772		dgoK	59.8567018586164	80.0245372144582
dgoD	10.62963	8.01499		dgoT	13.5638156570569	5.04820489398596
dgoK	13.8947	23.05638		dgsA	186.727418001204	192.23183377366
dgoR	70.80256	64.46366		dgt	57.7668433615765	69.8868861034395
dgoT	9.44582	17.80592		dhaK	507.636249282739	522.344057120067
dgsA	110.03101	131.27301		dhaL	277.061826928509	301.648608480302
dgt	32.18298	34.89374		dhaM	321.344858885793	313.202472083566
dhaK	250.88303	287.5305		dhaR	18.2687642130986	19.5979851389871
dhaL	270.12352	258.8056		diaA	296.7514999082	341.3415565573
dhaM	154.92738	158.87106		dinB	49.8239023993597	66.3204543478894
dhaR	38.16701	49.92245		dinF	25.4174110790936	39.1751028581278
diaA	309.98584	231.40458		dinG	57.0739635109355	50.2843700329846
dinB	23.13152	21.17922		dinI	71.2927383925797	121.899662666392
dinF	35.40128	30.55214		dinJ	67.1954545769142	88.7081213328394
dinG	51.10227	53.05111		dinQ	1169.20090963831	1638.48754775061
dinI	148.94442	99.95632		dipZ	165.258079100821	185.513082951179
dinQ	1139.92126	897.32504		djlA	64.4779913403479	35.9492452489462
dipZ	122.27828	116.66212		dkgA	63.5435276977341	76.2820125492664
djlA	14.96745	23.18582		dkgB	21.8134498066848	17.1445060369086
dkgA	44.2516	44.94297		dksA	2384.55448676234	2225.96062356289
